Date,Time of day,Sender,Content
04/26/2018,21:45:31,Me,Aliiiii
04/26/2018,21:45:41,Me,Kakav si sutra s vremenom?
04/26/2018,21:58:12,Ali,Dobar
04/26/2018,21:58:39,Me,Hocemo sjesti
04/26/2018,21:58:51,Ali,Hocemo
04/26/2018,21:59:19,Ali,Poslije dzume
04/26/2018,21:59:21,Ali,?
04/26/2018,22:01:39,Me,Moreee
04/27/2018,12:07:41,Ali,Hocemo li u daire ?
04/27/2018,12:07:53,Me,Hocemo
04/27/2018,12:07:59,Me,Kad si tamo?
04/27/2018,12:08:33,Ali,"Pa eto, hajd nazvat cu te kad krenem iz dzamije"
04/27/2018,12:08:46,Ali,Ali best guess je 2:10 pm
04/27/2018,12:08:59,Me,(like)
04/27/2018,17:56:46,Ali,"Piletina Zagorila, pitam se zasto"
04/27/2018,18:00:36,Me,hahahahahha
04/27/2018,18:05:25,Ali,Ne zna mama zasto
04/27/2018,18:05:36,Ali,Osrace izmedju nas
04/27/2018,18:16:54,Me,Moje makarone su ispale savrseno
04/27/2018,18:16:56,Me,Naravno
04/27/2018,18:17:01,Me,Ali nemam slike da je pokazem
05/03/2018,10:25:26,Me,😘👌
05/03/2018,10:27:43,Ali,"Da n bude da umisljam, serem i da lazem"
05/03/2018,10:28:39,Me,"Jarab habibi, Jarab"
06/08/2018,21:46:58,Me,Dzes u nedelju
06/08/2018,21:47:00,Me,?
06/08/2018,21:47:08,Ali,Imam iftar
06/08/2018,21:47:20,Me,Poslije?
06/08/2018,21:48:35,Me,Hajde onda nekad sljedece sedmice
06/08/2018,21:48:37,Me,Kad ti odg
06/08/2018,21:48:43,Me,Pa javi
06/08/2018,21:48:51,Me,(wink2)
06/08/2018,21:57:26,Ali,Necu moci
06/08/2018,21:57:30,Ali,Idem sa rajom oa cu poslije
06/08/2018,22:02:35,Me,Hajde hajde
06/15/2018,06:10:05,Me,BajrambarecolaSve najbolje
06/15/2018,06:10:07,Me,(happy)
06/15/2018,06:32:45,Ali,Erole Allah Raziola i tebi Bajram Serif Mubarek Olsun
04/15/2019,08:34:53,Me,"Pa gdje je moja omiljena hrpa kostiju, mesa i misica ?"
04/15/2019,08:35:11,Me,"Neko mi kaze u gorazdu, neko u njemackoj"
04/15/2019,08:35:18,Me,"Sve je to nebitno, samo mi reci kada ces doci, ako nisi vec dosao, i kada cu se moci izgubiti u tvojim sivim ocima ?"
04/15/2019,08:35:48,Ali,Ljudino evo dosao na posao. Cekam da mi se kafa napravi
04/15/2019,08:35:56,Ali,Tj da mi je sestre naprave
04/15/2019,08:36:06,Ali,"Kad hoces? Sutra, prekosutra?"
04/15/2019,08:36:32,Me,Kad mozes?
04/15/2019,08:36:39,Me,Popodne nekad samo
04/15/2019,08:36:50,Me,I ja sam gotov tamo oko 5
04/15/2019,08:37:04,Me,Ne znam do kad si zauzet sa sestrama
04/15/2019,08:41:59,Ali,Sta to ti radis do 5?
04/15/2019,08:42:05,Ali,Hajd za prekosutra da se cujemo
04/15/2019,08:44:24,Ali,Sta je to
04/15/2019,08:44:28,Ali,Gledas filmove?
04/15/2019,08:44:57,Me,Ma igram se s kompjuterima
04/15/2019,08:45:08,Me,Idi lijeci ljude
04/15/2019,08:45:37,Me,Javim ti se da se dogovorimo onda u cetvrtak
04/15/2019,08:56:23,Ali,Okej
04/16/2019,21:27:09,Me,Sutra smo jel tako ?
04/16/2019,21:38:30,Ali,Moze
04/16/2019,21:38:33,Ali,Kad ti odg
04/16/2019,21:38:51,Me,5-6-7
04/16/2019,21:47:59,Ali,Pa hocemo li oko 6
04/16/2019,21:48:02,Ali,Na ciglane ?
04/16/2019,21:48:21,Me,Hajde
04/16/2019,21:48:36,Me,Gdje se nadjemo ?
04/16/2019,21:50:11,Ali,Pa gdje ti hoces
04/16/2019,21:50:15,Ali,Mogu i doci po tebe negdje
04/16/2019,21:50:33,Me,Jos bolje
04/16/2019,21:50:48,Ali,Somwhere
04/16/2019,21:50:52,Ali,Not where u live
04/16/2019,21:50:53,Ali,Hahah
04/16/2019,21:54:39,Me,Hahah
04/16/2019,21:55:16,Me,Hoces kod bbi
04/16/2019,21:55:23,Me,Eto
04/16/2019,23:02:19,Ali,Necu
04/16/2019,23:02:23,Ali,Hajd kod bombona
04/16/2019,23:05:37,Me,Pa eto
04/16/2019,23:05:39,Me,To je tu
04/17/2019,17:49:52,Me,Ja sam tamo za 10 min
04/17/2019,17:53:25,Ali,Okej
