Date,Time of day,Sender,Content
04/12/2018,22:36:39,M,Kafa sutra
04/12/2018,22:36:40,M,?
04/12/2018,22:38:09,Me,Ooooooooooooooooooooooooooooooooo
04/12/2018,22:38:19,Me,Helooooooooooooooooooooooooooooooo
04/12/2018,22:38:28,M,Hahahha
04/12/2018,22:38:29,M,Djes
04/12/2018,22:38:42,Me,A evo me kuci
04/12/2018,22:38:51,Me,Dobio gripu
04/12/2018,22:38:59,Me,Vec 2 dana lezim
04/12/2018,22:39:03,M,U jebemu
04/12/2018,22:39:09,M,Ova viroza
04/12/2018,22:39:12,M,:(
04/12/2018,22:39:23,Me,Jah
04/12/2018,22:39:31,Me,Eto cim ozdravim zovem te
04/12/2018,22:39:33,Me,Moze?
04/12/2018,22:40:04,M,"Moze naravno, samo nemoj da zaboravis kao i obicno"
04/12/2018,22:40:11,M,Zovi ako ti sta zatreba
04/12/2018,22:40:16,M,U svakom slucaju
04/12/2018,22:40:19,M,(happy)
04/12/2018,22:40:36,Me,Treba mi drugi imuni sistem
04/12/2018,22:40:38,Me,Ako moze
04/12/2018,22:41:19,M,Tesko
04/16/2018,14:07:03,Me,Mecooooo
04/16/2018,14:07:23,Me,Doslovno sam u nedelju bio prvi put bez temperature
04/16/2018,14:07:26,Me,(happy)
04/16/2018,14:07:51,Me,"Imam ispite ove sedmice, al nisu nesto teski"
04/16/2018,14:08:13,Me,Tako da ako budem se uhvatio da imam slobodno vrijeme zovem te ok?
04/16/2018,14:08:37,Me,Mozda mi i mozes pomoci oko neceg
04/16/2018,14:08:50,Me,Ti i tvoje pravljenje-loga-vjestine
04/16/2018,14:12:50,M,Oooooo ma no problem
04/16/2018,14:12:57,M,Evo i ja sam bolesna
04/16/2018,14:13:09,M,Imam temperaturu
04/16/2018,14:13:13,M,Tako da
04/16/2018,14:13:21,M,Samo polako
04/16/2018,14:14:36,Me,Eto vidis
04/16/2018,14:14:38,Me,...
04/16/2018,14:28:06,M,Grozno grozno
04/30/2018,12:20:12,Me,Mecooooo
04/30/2018,12:20:18,Me,Ju free?
04/30/2018,12:20:22,Me,Today?
04/30/2018,12:29:14,M,Jeee hajde javnem ti se za 15ak min
04/30/2018,13:34:49,Me,Dec a no?
04/30/2018,13:34:56,Me,Mozemo i sutra ako hoces
