Date,Time of day,Sender,Content
04/11/2018,22:46:45,Me,Najinteresantnija liga prvaka u zadnjih 10 godina
04/11/2018,23:04:35,Me,nesto mi liverpool opasan
04/11/2018,23:04:40,Me,nije dominantan
04/11/2018,23:04:44,Me,a opasan
04/11/2018,23:04:54,Me,mada imaju hodajucu gresku lovrena nazad
04/11/2018,23:05:48,Plaki,Hhahahah
04/11/2018,23:06:01,Plaki,Prvo sto sam ti htio napisati jeste dejan lovren
04/13/2018,12:20:20,Me,"[{""iOS_bundleImageName"":null,""ImageUrl"":""http:\/\/www.index.hr\/images2\/index-0cvvc2.jpg"",""Action"":{""name"":""openurl"",""parameters"":{""url"":""http:\/\/www.index.hr\/mobile\/clanak.aspx?category=sport&id=1038370""}},""ImageType"":""regular"",""iOS_imageContentMode"":1,""DownloadID"":null,""iOS_imageFormat"":null,""iOS_ShowPlayButton"":false,""Width"":1,""iOS_isEmbeddedVideoURL"":false,""Type"":""img"",""DisplayWidth"":400,""BucketName"":null,""iOS_HighlightOnTap"":true,""DisplayHeight"":400},{""HighlightLinks"":false,""MaxLinesNumber"":2,""Underline"":true,""Action"":{""name"":""openurl"",""parameters"":{""url"":""http:\/\/www.index.hr\/mobile\/clanak.aspx?category=sport&id=1038370""}},""Bold"":false,""Width"":1,""HighlightEmoticons"":true,""Type"":""txt"",""Size"":2,""Color"":""1470418"",""iOS_HighlightOnTap"":true,""Text"":""KUPANJE NA -200, PLIVANJE I BAKALAR Ronaldo otkrio tajnu fantastične tjelesne pripreme"",""Italic"":false},{""HighlightLinks"":false,""MaxLinesNumber"":0,""Underline"":false,""Action"":{""name"":""openurl"",""parameters"":{""url"":""http:\/\/www.index.hr\/mobile\/clanak.aspx?category=sport&id=1038370""}},""Bold"":false,""Width"":1,""HighlightEmoticons"":true,""Type"":""txt"",""Size"":1,""Color"":""8553090"",""iOS_HighlightOnTap"":false,""Text"":""www.index.hr"",""Italic"":false},{""Commands"":[{""name"":""ios_send_json_message"",""parameters"":{""mediaType"":""url"",""platform_key"":""ios"",""info"":""{\""ThumbnailWidth\"":0,\""ThumbnailHeight\"":0,\""URL\"":\""http:\\\/\\\/www.index.hr\\\/mobile\\\/clanak.aspx?category=sport&id=1038370\"",\""ContentType\"":\""text\\\/html\"",\""Type\"":\""default\"",\""Title\"":\""KUPANJE NA -200, PLIVANJE I BAKALAR Ronaldo otkrio tajnu fantastične tjelesne pripreme\"",\""ThumbnailContentType\"":\""image\\\/jpeg\"",\""ThumbnailURL\"":\""http:\\\/\\\/www.index.hr\\\/images2\\\/index-0cvvc2.jpg\"",\""ContentLength\"":287581,\""Text\"":\""http:\\\/\\\/www.index.hr\\\/mobile\\\/clanak.aspx?category=sport&id=1038370\""}""}},{""name"":""copy"",""parameters"":{""str"":""http:\/\/www.index.hr\/mobile\/clanak.aspx?category=sport&id=1038370""}},{""name"":""ios_forward_json_message"",""parameters"":{""mediaType"":""url"",""info"":""{\""ThumbnailWidth\"":0,\""ThumbnailHeight\"":0,\""URL\"":\""http:\\\/\\\/www.index.hr\\\/mobile\\\/clanak.aspx?category=sport&id=1038370\"",\""ContentType\"":\""text\\\/html\"",\""Type\"":\""default\"",\""Title\"":\""KUPANJE NA -200, PLIVANJE I BAKALAR Ronaldo otkrio tajnu fantastične tjelesne pripreme\"",\""ThumbnailContentType\"":\""image\\\/jpeg\"",\""ThumbnailURL\"":\""http:\\\/\\\/www.index.hr\\\/images2\\\/index-0cvvc2.jpg\"",\""ContentLength\"":287581,\""Text\"":\""http:\\\/\\\/www.index.hr\\\/mobile\\\/clanak.aspx?category=sport&id=1038370\""}"",""ios_forward_flags"":1,""platform_key"":""ios""}}],""Type"":""cmd"",""Width"":1},{""ios_URLMessageWithDirectLinkToGIF"":false,""ios_realMediaType"":""url"",""PreviewText"":""www.index.hr"",""TrackingData"":null,""FmType"":null,""PushText"":""http:\/\/www.index.hr\/mobile\/clanak.aspx?category=sport&id=1038370"",""PreviewTextIndex"":null,""PushTextIndex"":null,""Width"":1,""ios_slashKeyTracking"":null,""ios_embeddedMediaUrlType"":0,""Type"":""info"",""OnClick"":null,""ios_GroupPushText"":null,""ios_shouldBeProcessed"":false}]"
04/13/2018,12:20:33,Me,Blaza verzija bryanta
04/13/2018,12:20:47,Me,"Al eto, dovoljno za fudbal"
04/13/2018,14:27:44,Plaki,Pa dobro si to srocio
04/13/2018,14:27:52,Plaki,Blaza verzija
04/13/2018,14:28:18,Plaki,Al opet ne moze on u fudbalu trenirati toliko i da hoce koliko noze brayant u kosarci
05/01/2018,22:41:04,Me,Ole gunnar larsson
05/01/2018,22:41:12,Me,Sretan ti rodjendan
05/01/2018,22:41:16,Me,Puno golova
05/01/2018,22:41:22,Me,(happy)
05/02/2018,21:56:17,Me,Dzeki vise niko nista ne smije reci
05/02/2018,21:56:20,Me,.
05/02/2018,21:56:44,Me,Kakav god da je
05/02/2018,21:56:52,Me,8 golova u ligi prvaka
05/02/2018,22:36:31,Plaki,"A ko mu je ikad i mogao reci samo ovi nas "" intelektualci"" su ga osporavali"
