Date,Time of day,Sender,Content
04/12/2018,21:15:43,Me,Pa jesi dobio rodjendansku cestitku?
04/12/2018,21:16:08,Vareta,Kako nisam
04/12/2018,21:16:19,Vareta,Al vise mi se za Vaskra svidjela cestitka hahahahaha
04/12/2018,21:16:25,Me,Pa sto ne kazes nesto
04/12/2018,21:16:27,Me,Haha
04/12/2018,21:16:27,Vareta,Vaskrs
04/12/2018,21:16:32,Vareta,Pa kazao sam
04/12/2018,21:16:45,Me,A lede mi nije javio onda
04/12/2018,21:17:04,Vareta,Izgleda
04/12/2018,21:17:07,Vareta,Sta mai
04/12/2018,21:17:19,Me,Evo gledam marseille leipzig
04/12/2018,21:17:24,Me,Ne vjerujem
04/12/2018,21:17:26,Me,I tako
04/12/2018,21:17:34,Vareta,Sta ne vjerujes
04/12/2018,21:17:42,Me,Dobre tekme
04/12/2018,21:17:46,Me,9 minuta
04/12/2018,21:17:47,Me,2-1
04/12/2018,21:18:05,Vareta,Nisam vala gledo
04/12/2018,21:18:17,Vareta,Zao mi Juveta sinoc
04/12/2018,21:18:36,Me,Ma dobra liga prvaka
04/12/2018,21:18:37,Me,Haos
04/12/2018,21:18:46,Me,Nije bila bolja ne pamtim
04/12/2018,21:18:52,Vareta,I ja kazem
04/12/2018,21:19:02,Vareta,Samo da je Manco umjesto Sevilje proso bila bi jos bolja
04/12/2018,21:19:10,Me,Ja
04/12/2018,21:19:11,Vareta,Zamilsi Bayern Mancester
04/12/2018,21:19:19,Me,To to
04/12/2018,21:19:23,Me,Sigurno
04/12/2018,21:19:40,Vareta,Haj sad ciaoooo odo gledat zabranjeno pusenje
04/12/2018,21:19:49,Vareta,Imaju koncert
04/12/2018,21:19:54,Vareta,A Keka mi poslo link
04/12/2018,21:19:56,Me,Pa kako ces?
04/12/2018,21:20:03,Me,Preko linka?
04/12/2018,21:20:05,Me,Oo
04/12/2018,21:20:08,Me,Hajde hajde
04/12/2018,21:20:08,Vareta,Ja
04/30/2018,13:59:59,Me,Dinoooo
04/30/2018,14:00:06,Me,"Hocemo oko 5,6?"
04/30/2018,14:00:11,Me,Jel belaj?
04/30/2018,14:43:58,Vareta,Imam tenis u 6
04/30/2018,14:44:02,Vareta,Sisanje prije toga
04/30/2018,14:44:06,Vareta,Zvat cu te
04/30/2018,15:07:09,Me,Hajd ok
04/30/2018,15:34:00,Me,Ako ne mozes danas
04/30/2018,15:34:07,Me,Mozemo i sutra ako hoces
04/30/2018,15:34:24,Me,Tj ako ces vcrs sa djevojkom
04/30/2018,15:37:21,Vareta,"Pa veceras cu mozda sa njom, a poslije tenisa sam se dogovorio, a sutra imma prazan stan pa cu sa njom bit vazdan, al zvat cu te samo dok se saberem i skontam"
04/30/2018,15:37:27,Vareta,No sikiriki bi hairli
04/30/2018,15:37:36,Me,Haha
04/30/2018,15:37:40,Me,Mozeee
04/30/2018,15:37:53,Me,(wink2)(like)
05/01/2018,11:04:33,Me,Jesi me ovo zvao u pola 12 majke ti
05/01/2018,11:04:37,Me,?
05/01/2018,11:04:52,Me,Pa nisi normalan
05/01/2018,12:17:44,Vareta,Ja sta fali
05/01/2018,13:12:52,Me,Spavao
05/01/2018,13:12:54,Me,Gdje si
05/01/2018,13:12:56,Me,U stanu
05/01/2018,13:12:59,Me,Hoces spavati?
05/01/2018,13:15:51,Vareta,Evo me stanu bicu sa Miom vazdan
05/01/2018,13:16:07,Vareta,A niai spavao u pola 12 ne zela
05/01/2018,13:17:14,Me,Jesam majke mi
05/01/2018,13:17:36,Me,Hoces da naletis do savnika navecer?
05/01/2018,13:17:54,Vareta,Gdje si to ti
05/01/2018,13:18:30,Me,Evo me na savnicima
05/01/2018,13:18:33,Me,S familijom
05/01/2018,13:18:58,Me,Pa ako hoces mozemo
05/01/2018,13:20:15,Me,Mozes doci i s mijom ako hoces
05/01/2018,13:20:23,Me,Bacimo rostilj i eto
05/01/2018,13:21:01,Vareta,Ma jok
05/01/2018,13:21:06,Vareta,Mislim hvala tebi
05/01/2018,13:21:22,Vareta,Al mi se sa njom ostaje
05/01/2018,13:21:31,Vareta,Nisam doso tebe da gledam hehehe
05/01/2018,13:21:41,Vareta,Sutra te zovem po danu
05/01/2018,13:26:20,Me,(like)
