Date,Time of day,Sender,Content
09/03/2018,13:49:08,Vir Triumphalis,Sinoc sam imao nocnu moru u kojoj si ti bio glavni protagonista
09/03/2018,13:49:23,Vir Triumphalis,Organizovao sam termin a ti se nisi pojavio
09/03/2018,13:49:43,Me,hahahaha'
09/03/2018,13:50:06,Me,ne znam da sam ikad fulio termin
09/03/2018,13:50:11,Me,nego reci mi
09/03/2018,13:50:32,Me,kako ti je mama podnijela promjenu imena
09/03/2018,13:51:33,Me,i to u rimski obred
09/03/2018,13:51:40,Me,nista manje
09/03/2018,13:52:10,Vir Triumphalis,"Zaprijetila odricanjem, pitala jesam li to promijenio vjeroispovjest"
09/03/2018,13:52:30,Me,kako ide u novom okruzenju
09/03/2018,13:53:31,Vir Triumphalis,Cek nazvat cu te za 15min odo sad do svalcionice
09/03/2018,13:54:28,Vir Triumphalis,U stvari zvat cu tr veceras
09/03/2018,18:07:46,Me,Ole gunnar larson
09/03/2018,18:07:53,Me,Ma cujem ja tebe
09/03/2018,18:08:04,Me,Ali nekako nikako da se razumijemo
09/03/2018,18:08:21,Vir Triumphalis,Pa sta je s inerenetom
09/03/2018,18:08:23,Vir Triumphalis,Gdje si
09/03/2018,18:08:31,Vir Triumphalis,Ja tebe nista ne cujemp
09/03/2018,18:08:34,Me,Ma 3g
09/03/2018,18:08:42,Me,Trebalo bi da je extr
09/03/2018,18:08:44,Me,A
09/03/2018,18:08:51,Me,Al evo...
09/03/2018,18:09:24,Vir Triumphalis,Daj da probam jos jednom
09/03/2018,18:10:22,Me,Ja tebe fino cujem
09/03/2018,18:10:22,Vir Triumphalis,E jbg
09/03/2018,18:10:32,Me,Ne ide ova svedska linija
09/03/2018,18:10:53,Vir Triumphalis,Ne valja ti taj 3g ne moze da prati ovaj moj 4G!
09/03/2018,18:11:07,Me,Dominantan si
09/03/2018,18:11:26,Me,Kako ide sven goran?
09/03/2018,18:11:41,Me,Sredi vareti radnu dozvolu
09/03/2018,18:11:48,Me,Mojne biti paksu
09/03/2018,18:12:23,Vir Triumphalis,Jedino da ga ozenim
09/03/2018,18:12:26,Vir Triumphalis,Hahaha
09/03/2018,18:12:42,Vir Triumphalis,Dobro je
09/03/2018,18:12:56,Vir Triumphalis,Jos sam u adaptaciji
09/03/2018,18:13:02,Vir Triumphalis,Na novu okoliku
09/03/2018,18:13:09,Vir Triumphalis,Okolinu
09/03/2018,18:13:14,Vir Triumphalis,Al ide dobro
09/03/2018,18:13:26,Vir Triumphalis,Kakav si ti
09/03/2018,18:13:59,Me,Ma kakva adaptacija
09/03/2018,18:14:13,Me,Jel ima ko da radi vise od tebe
09/03/2018,18:14:15,Me,?
09/03/2018,18:15:26,Vir Triumphalis,Ma jok to
09/03/2018,18:16:01,Me,"Ma to oni glume malo,"
09/03/2018,18:17:40,Vir Triumphalis,Nego jbg sad sam dosao u klub nema stranaca sam zivim pa mi neobicno iako ja to vise preferiam al eto valjda se navikao tamo u amalu da je uvijek neko drustvo pogotovo sti nas je bilo dosta s balkana
09/03/2018,18:22:26,Me,Sad samoca lagano pocinje da se uvlaci
09/03/2018,18:22:34,Me,Gdje ti je zena i djete
09/03/2018,18:22:37,Me,Hahaha
09/03/2018,18:24:48,Vir Triumphalis,Hahahahaaha
09/03/2018,18:24:56,Vir Triumphalis,Miljama daleko
09/03/2018,18:25:47,Me,Nebitno dok su srca blizu
09/03/2018,18:28:00,Vir Triumphalis,Nismo imali vremena za takvo nesto a i nisam siguran d ja to zelim
09/03/2018,18:28:00,Me,A koji sisad grad?
09/03/2018,18:28:08,Vir Triumphalis,Atvidaberg
09/03/2018,18:28:19,Me,Imal sta u njemu
09/03/2018,18:28:29,Me,Imas li bar auto
09/03/2018,18:28:33,Me,Da se vozas
09/03/2018,18:28:57,Vir Triumphalis,Malo mjesto kao i amal
09/03/2018,18:29:07,Vir Triumphalis,Nemam auto iman biciklo
09/03/2018,18:29:28,Vir Triumphalis,Al eto ovaj linoping mi je blizu
09/03/2018,18:29:41,Vir Triumphalis,Nekih 40 min busem
09/03/2018,18:29:58,Me,Ma hajde
09/03/2018,18:29:59,Vir Triumphalis,To je kao 5 po velicini grad u svedskoj
09/03/2018,18:30:41,Me,Sad jedna polusezona dobra
09/03/2018,18:30:57,Me,"I next, hvala dovidjenja"
09/03/2018,18:31:56,Vir Triumphalis,Tako je
09/05/2018,11:24:12,Me,Eh dragi moj
09/05/2018,11:24:38,Me,"Ti, kao i dalje profesionalni sportista, ima da mi posaljes vjezbe za trbusne"
09/05/2018,11:24:50,Me,Poceo sam da dobijam trbuh
09/05/2018,11:25:15,Me,I nemoj da mi pricas kako je sve u prehrani
09/05/2018,11:25:30,Me,Osim ako nemas konkretnu prehranu
09/05/2018,11:26:05,Me,Unaprijed zahvaljujem
09/05/2018,11:26:08,Me,Hajde hajde sad
09/05/2018,13:39:47,Vir Triumphalis,Hahahahahah
09/05/2018,13:39:56,Vir Triumphalis,Pa najmanje moras raditi trbusne
09/05/2018,13:40:01,Vir Triumphalis,Ako hoces da skines salo
09/05/2018,13:40:35,Vir Triumphalis,Ne kazem da ih ne trebas raditi
09/05/2018,13:40:54,Vir Triumphalis,Al vaznije ti je da se vise trosis
09/05/2018,13:41:16,Vir Triumphalis,I naravno tu sam da ti kazem kako yi je prehrana
09/05/2018,13:41:20,Vir Triumphalis,Najvaznija
09/05/2018,13:41:39,Vir Triumphalis,Ti mozes skinuti trbuh bez da ista radis samo da se zdravo hranis
09/05/2018,13:43:07,Me,daj mi vjezbe za trbusne!!!
09/05/2018,13:43:31,Vir Triumphalis,Hahahahahahaha
09/05/2018,13:43:43,Vir Triumphalis,Onda mi moras napisati
09/05/2018,13:43:51,Vir Triumphalis,Jocu da ojacam trbusnjake
09/05/2018,13:44:03,Vir Triumphalis,Hahahahaah
09/05/2018,13:44:29,Vir Triumphalis,Imam i najjednpstavniju varijantu
09/05/2018,13:45:10,Me,aleme
09/05/2018,13:45:15,Vir Triumphalis,Skini aplikaciju
09/05/2018,13:45:34,Vir Triumphalis,Udjes tu
09/05/2018,13:45:35,Me,javit cu se svima koje znam u svedskoj i reci im da te obilaze sto cesce mogu
09/05/2018,13:45:49,Vir Triumphalis,Nadjes abs and core
09/05/2018,13:45:49,Me,pa se onda peglaj s dijasporom
09/05/2018,13:45:53,Me,ako mi ne pomognes
09/05/2018,13:46:42,Vir Triumphalis,I nadjes level koji zelis hoces da se preznojis ili hoces da meni psujes sto sam ti ikad poslao aplikaciju
09/05/2018,13:46:48,Vir Triumphalis,I onda radis
09/05/2018,13:47:13,Me,daj aplikacijui
09/05/2018,13:47:25,Vir Triumphalis,Pa eto poslao sam ti
09/05/2018,13:47:36,Vir Triumphalis,https://play.google.com/store/apps/details?id=com.nike.ntc
09/05/2018,13:47:45,Me,Eto
09/05/2018,13:47:48,Me,Jel bilo tesko
09/05/2018,13:48:20,Vir Triumphalis,Bilo je kad znam da radis pogresno
09/05/2018,13:49:09,Me,ma ukljucit cu fizicku aktivnost
09/05/2018,13:49:10,Me,neku
09/05/2018,13:49:12,Me,sta cu
09/05/2018,13:50:10,Vir Triumphalis,I pnda navecer do pirpe svratit
09/05/2018,13:50:58,Me,pa dovoljno je da jedno od nas dvojice pati i jede cvijece i bilje sa ulice
09/05/2018,13:51:07,Me,ovaj drugi moze uzivati za obojicu
09/05/2018,13:51:15,Me,sa falafelima i donerima i hamburgerima
09/05/2018,13:51:34,Me,i onda te mogu oraspoloziti kad se vidimo
09/05/2018,13:51:46,Me,cemu potreba da oboje budemo mizerni
09/05/2018,13:53:48,Vir Triumphalis,"Onda uzivaj i u trbuhu a ja cu ovom svom gracioznom tijelu. Kao sto kaze mlada: ""izgledas kao grcki bog"""
09/05/2018,13:54:05,Vir Triumphalis,A ti uzivaj u svom pablo eskobar trbuhu
09/05/2018,13:54:23,Vir Triumphalis,Samo bez para
09/05/2018,13:54:40,Me,nije bilo nijednog sretnog grckog boga
09/05/2018,13:54:42,Me,samo da znas
09/05/2018,13:54:49,Me,svi su se mrzili medjusobno
09/05/2018,13:54:53,Me,i spletkarili
09/05/2018,13:55:03,Me,...
09/05/2018,13:55:15,Vir Triumphalis,Hahahahahah
09/15/2018,19:56:15,Me,Svaka cast
